年底別,臺北市最低生活費[元],總計/戶數[戶],總計/戶數占全市[區]戶數比率[%],總計/人數[人],總計/人數占全市[區]人口數比率[%],第0類/戶數[戶],第0類/人數[人],第1類/戶數[戶],第1類/人數[人],第2類/戶數[戶],第2類/人數[人],第3類/戶數[戶],第3類/人數[人],第4類/戶數[戶],第4類/人數[人]
87年,7750,7684,0.88,17270,0.65,989,1119,530,692,2931,7473,3014,7435,220,551
88年,11443,8736,0.99,19843,0.75,1043,1153,770,980,2974,7686,3100,7974,849,2050
89年,11625,9773,1.1,22706,0.86,1046,1159,817,1066,3289,8571,3575,9401,1046,2509
90年,12977,11021,1.23,24760,0.94,1025,1118,885,1107,3260,8241,3935,9768,1916,4526
91年,13288,12073,1.33,27184,1.03,1122,1182,869,1044,2945,7357,4008,10172,3129,7429
92年,13313,13012,1.42,32783,1.25,1306,1373,809,965,3091,8297,4028,11858,3778,10290
93年,13797,15970,1.73,40184,1.53,1618,1689,907,1073,3546,9447,4911,14424,4988,13551
94年,13562,13008,1.39,32146,1.23,2047,2129,677,820,2262,6223,3821,11325,4201,11649
95年,14377,13499,1.43,33437,1.27,2146,2221,658,822,2217,6142,3857,11507,4621,12745
96年,14881,14000,1.48,34752,1.32,2204,2303,652,781,2079,5482,3647,10967,5418,15219
97年,14152,14753,1.54,36274,1.38,2389,2492,660,804,2163,5554,3795,11491,5746,15933
98年,14558,16532,1.71,40708,1.56,2530,2629,675,833,2536,6295,4167,12564,6624,18387
99年,14614,17810,1.81,43823,1.67,2530,2636,756,929,2769,6635,4511,13538,7244,20085
100年,14794,19427,1.94,47597,1.8,2572,2679,853,1034,3295,7423,4894,14709,7813,21752
101年,14794,21001,2.06,51282,1.92,2536,2656,972,1165,3642,7982,5244,15530,8607,23949
102年,14794,21066,2.05,50649,1.89,2415,2515,1036,1252,3793,7938,5046,14648,8776,24296
103年,14794,21204,2.04,50021,1.85,2318,2404,1088,1322,3918,7789,4959,14130,8921,24376
104年,14794,20945,2.01,48594,1.8,2167,2247,1108,1338,4016,7544,4684,13103,8970,24362
105年,15162,20744,1.98,47424,1.76,2038,2114,1139,1372,4104,7192,4297,11821,9166,24925
106年,15544,20483,1.95,45816,1.71,1925,2001,1185,1395,4211,6893,3913,10580,9249,24947
107年,16157,20803,1.97,45469,1.7,1863,1940,1276,1475,4415,6963,4034,10646,9215,24445
108年,16580,21123,1.99,44984,1.7,1766,1833,1355,1562,4651,7017,3878,10048,9473,24524
109年,17005,21495,2.03,45052,1.73,1640,1693,1462,1684,4787,6916,3467,8988,10139,25771
110年,17668,21647,2.06,44678,1.77,1579,1630,1524,1733,4911,6903,3390,8742,10243,25670
111年,18682,21909,2.08,44476,1.79,1474,1528,1645,1864,4999,6827,3186,8066,10605,26191
